Source,Target,Label,Weight,Edge_Type
7,45,ligacao_evento_ES_109,7,Ocorrencia
7,46,ligacao_evento_ES_110,553,Ocorrencia
7,47,ligacao_evento_ES_111,553,Ocorrencia
7,48,ligacao_evento_ES_112,63,Ocorrencia
7,49,ligacao_evento_ES_113,7,Ocorrencia
7,50,ligacao_evento_ES_114,7,Ocorrencia
7,51,ligacao_evento_ES_115,7,Ocorrencia
7,52,ligacao_evento_ES_116,7,Ocorrencia
7,53,ligacao_evento_ES_117,553,Ocorrencia
7,54,ligacao_evento_ES_118,553,Ocorrencia
7,55,ligacao_evento_ES_119,7,Ocorrencia
8,27,ligacao_ocorrencia_GO_60,36,Ocorrencia
8,28,ligacao_ocorrencia_GO_61,45,Ocorrencia
8,29,ligacao_ocorrencia_GO_62,25,Ocorrencia
8,30,ligacao_ocorrencia_GO_63,32,Ocorrencia
8,31,ligacao_ocorrencia_GO_64,48,Ocorrencia
8,32,ligacao_ocorrencia_GO_65,14,Ocorrencia
8,33,ligacao_ocorrencia_GO_67,3,Ocorrencia
8,34,ligacao_ocorrencia_GO_68,1,Ocorrencia
8,36,ligacao_ocorrencia_GO_66,6,Ocorrencia
8,39,ligacao_categoria_GO_18,836,Categoria
8,40,ligacao_categoria_GO_19,45,Categoria
8,41,ligacao_evento_GO_120,7,Ocorrencia
8,42,ligacao_evento_GO_121,7,Ocorrencia
8,43,ligacao_evento_GO_122,7,Ocorrencia
8,44,ligacao_evento_GO_123,1729,Ocorrencia
8,45,ligacao_evento_GO_124,7,Ocorrencia
8,46,ligacao_evento_GO_125,1729,Ocorrencia
8,47,ligacao_evento_GO_126,1729,Ocorrencia
8,48,ligacao_evento_GO_127,63,Ocorrencia
8,49,ligacao_evento_GO_128,7,Ocorrencia
8,50,ligacao_evento_GO_129,7,Ocorrencia
8,51,ligacao_evento_GO_130,7,Ocorrencia
8,52,ligacao_evento_GO_131,7,Ocorrencia
8,53,ligacao_evento_GO_132,1729,Ocorrencia
8,54,ligacao_evento_GO_133,1729,Ocorrencia
8,55,ligacao_evento_GO_134,7,Ocorrencia
9,27,ligacao_ocorrencia_MA_69,5,Ocorrencia
9,28,ligacao_ocorrencia_MA_70,8,Ocorrencia
9,29,ligacao_ocorrencia_MA_71,13,Ocorrencia
9,30,ligacao_ocorrencia_MA_72,6,Ocorrencia
9,31,ligacao_ocorrencia_MA_73,13,Ocorrencia
9,33,ligacao_ocorrencia_MA_75,5,Ocorrencia
9,36,ligacao_ocorrencia_MA_74,20,Ocorrencia
9,39,ligacao_categoria_MA_20,100,Categoria
9,40,ligacao_categoria_MA_21,41,Categoria
9,41,ligacao_evento_MA_135,7,Ocorrencia
9,42,ligacao_evento_MA_136,7,Ocorrencia
9,43,ligacao_evento_MA_137,7,Ocorrencia
9,44,ligacao_evento_MA_138,1526,Ocorrencia
9,45,ligacao_evento_MA_139,7,Ocorrencia
9,46,ligacao_evento_MA_140,1526,Ocorrencia
9,47,ligacao_evento_MA_141,1526,Ocorrencia
9,48,ligacao_evento_MA_142,63,Ocorrencia
9,49,ligacao_evento_MA_143,7,Ocorrencia
9,50,ligacao_evento_MA_144,7,Ocorrencia
9,51,ligacao_evento_MA_145,7,Ocorrencia
9,52,ligacao_evento_MA_146,7,Ocorrencia
9,53,ligacao_evento_MA_147,1526,Ocorrencia
9,54,ligacao_evento_MA_148,1526,Ocorrencia
9,55,ligacao_evento_MA_149,7,Ocorrencia
10,27,ligacao_ocorrencia_MG_76,22,Ocorrencia
10,28,ligacao_ocorrencia_MG_77,37,Ocorrencia
10,29,ligacao_ocorrencia_MG_78,65,Ocorrencia
10,30,ligacao_ocorrencia_MG_79,42,Ocorrencia
10,31,ligacao_ocorrencia_MG_80,69,Ocorrencia
10,32,ligacao_ocorrencia_MG_81,27,Ocorrencia
10,33,ligacao_ocorrencia_MG_83,14,Ocorrencia
10,34,ligacao_ocorrencia_MG_84,1,Ocorrencia
10,36,ligacao_ocorrencia_MG_82,16,Ocorrencia
10,39,ligacao_categoria_MG_22,576,Categoria
10,40,ligacao_categoria_MG_23,179,Categoria
10,41,ligacao_evento_MG_150,7,Ocorrencia
10,42,ligacao_evento_MG_151,7,Ocorrencia
10,43,ligacao_evento_MG_152,7,Ocorrencia
10,44,ligacao_evento_MG_153,5978,Ocorrencia
10,45,ligacao_evento_MG_154,7,Ocorrencia
10,46,ligacao_evento_MG_155,5978,Ocorrencia
10,47,ligacao_evento_MG_156,5978,Ocorrencia
10,48,ligacao_evento_MG_157,63,Ocorrencia
10,49,ligacao_evento_MG_158,7,Ocorrencia
10,50,ligacao_evento_MG_159,7,Ocorrencia
10,51,ligacao_evento_MG_160,7,Ocorrencia
10,52,ligacao_evento_MG_161,7,Ocorrencia
10,53,ligacao_evento_MG_162,5978,Ocorrencia
10,54,ligacao_evento_MG_163,5978,Ocorrencia
10,55,ligacao_evento_MG_164,7,Ocorrencia
11,27,ligacao_ocorrencia_MS_85,10,Ocorrencia
11,28,ligacao_ocorrencia_MS_86,12,Ocorrencia
11,29,ligacao_ocorrencia_MS_87,13,Ocorrencia
11,30,ligacao_ocorrencia_MS_88,4,Ocorrencia
11,31,ligacao_ocorrencia_MS_89,6,Ocorrencia
11,32,ligacao_ocorrencia_MS_90,11,Ocorrencia
11,34,ligacao_ocorrencia_MS_92,4,Ocorrencia
11,36,ligacao_ocorrencia_MS_91,2,Ocorrencia
11,39,ligacao_categoria_MS_24,233,Categoria
11,40,ligacao_categoria_MS_25,33,Categoria
11,41,ligacao_evento_MS_165,7,Ocorrencia
11,42,ligacao_evento_MS_166,7,Ocorrencia
11,43,ligacao_evento_MS_167,7,Ocorrencia
11,44,ligacao_evento_MS_168,560,Ocorrencia
11,45,ligacao_evento_MS_169,7,Ocorrencia
11,46,ligacao_evento_MS_170,560,Ocorrencia
11,47,ligacao_evento_MS_171,560,Ocorrencia
11,48,ligacao_evento_MS_172,63,Ocorrencia
11,49,ligacao_evento_MS_173,7,Ocorrencia
11,50,ligacao_evento_MS_174,7,Ocorrencia
11,51,ligacao_evento_MS_175,7,Ocorrencia
11,52,ligacao_evento_MS_176,7,Ocorrencia
11,53,ligacao_evento_MS_177,560,Ocorrencia
11,54,ligacao_evento_MS_178,560,Ocorrencia
11,55,ligacao_evento_MS_179,7,Ocorrencia
12,27,ligacao_ocorrencia_MT_93,21,Ocorrencia
12,28,ligacao_ocorrencia_MT_94,12,Ocorrencia
12,29,ligacao_ocorrencia_MT_96,7,Ocorrencia
12,30,ligacao_ocorrencia_MT_97,25,Ocorrencia
12,31,ligacao_ocorrencia_MT_98,52,Ocorrencia
12,32,ligacao_ocorrencia_MT_99,7,Ocorrencia
12,33,ligacao_ocorrencia_MT_101,11,Ocorrencia
12,34,ligacao_ocorrencia_MT_102,2,Ocorrencia
12,35,ligacao_ocorrencia_MT_95,1,Ocorrencia
12,36,ligacao_ocorrencia_MT_100,4,Ocorrencia
12,39,ligacao_categoria_MT_26,214,Categoria
12,40,ligacao_categoria_MT_27,28,Categoria
12,41,ligacao_evento_MT_180,7,Ocorrencia
12,42,ligacao_evento_MT_181,7,Ocorrencia
12,43,ligacao_evento_MT_182,7,Ocorrencia
12,44,ligacao_evento_MT_183,994,Ocorrencia
12,45,ligacao_evento_MT_184,7,Ocorrencia
12,46,ligacao_evento_MT_185,994,Ocorrencia
12,47,ligacao_evento_MT_186,994,Ocorrencia
12,48,ligacao_evento_MT_187,63,Ocorrencia
12,49,ligacao_evento_MT_188,7,Ocorrencia
12,50,ligacao_evento_MT_189,7,Ocorrencia
12,51,ligacao_evento_MT_190,7,Ocorrencia
12,52,ligacao_evento_MT_191,7,Ocorrencia
12,53,ligacao_evento_MT_192,994,Ocorrencia
12,54,ligacao_evento_MT_193,994,Ocorrencia
12,55,ligacao_evento_MT_194,7,Ocorrencia
13,27,ligacao_ocorrencia_PA_103,2,Ocorrencia
13,28,ligacao_ocorrencia_PA_104,3,Ocorrencia
13,29,ligacao_ocorrencia_PA_105,12,Ocorrencia
13,30,ligacao_ocorrencia_PA_106,7,Ocorrencia
13,31,ligacao_ocorrencia_PA_107,42,Ocorrencia
13,32,ligacao_ocorrencia_PA_108,6,Ocorrencia
13,33,ligacao_ocorrencia_PA_110,5,Ocorrencia
13,36,ligacao_ocorrencia_PA_109,2,Ocorrencia
13,38,ligacao_categoria_PA_28,71,Categoria
13,39,ligacao_categoria_PA_29,71,Categoria
13,40,ligacao_categoria_PA_30,29,Categoria
13,41,ligacao_evento_PA_195,7,Ocorrencia
13,42,ligacao_evento_PA_196,7,Ocorrencia
13,43,ligacao_evento_PA_197,7,Ocorrencia
13,44,ligacao_evento_PA_198,1015,Ocorrencia
13,45,ligacao_evento_PA_199,7,Ocorrencia
13,46,ligacao_evento_PA_200,1015,Ocorrencia
13,47,ligacao_evento_PA_201,1015,Ocorrencia
13,48,ligacao_evento_PA_202,63,Ocorrencia
13,49,ligacao_evento_PA_203,7,Ocorrencia
13,50,ligacao_evento_PA_204,7,Ocorrencia
13,51,ligacao_evento_PA_205,7,Ocorrencia
13,52,ligacao_evento_PA_206,7,Ocorrencia
13,53,ligacao_evento_PA_207,1015,Ocorrencia
13,54,ligacao_evento_PA_208,1015,Ocorrencia
13,55,ligacao_evento_PA_209,7,Ocorrencia
14,27,ligacao_ocorrencia_PB_111,6,Ocorrencia
14,28,ligacao_ocorrencia_PB_112,25,Ocorrencia
14,29,ligacao_ocorrencia_PB_113,5,Ocorrencia
14,30,ligacao_ocorrencia_PB_114,2,Ocorrencia
14,31,ligacao_ocorrencia_PB_115,18,Ocorrencia
14,32,ligacao_ocorrencia_PB_116,5,Ocorrencia
14,33,ligacao_ocorrencia_PB_118,3,Ocorrencia
14,36,ligacao_ocorrencia_PB_117,9,Ocorrencia
14,39,ligacao_categoria_PB_31,37,Categoria
14,40,ligacao_categoria_PB_32,30,Categoria
14,41,ligacao_evento_PB_210,7,Ocorrencia
14,42,ligacao_evento_PB_211,7,Ocorrencia
